video_id;channelTitle;title;description;tags;publishedAt;viewCount;likeCount;favouriteCount;commentCount;duration;definition;caption
XK9UGN3JEHU;Samsung;Less Microfiber™ Filter I Samsung;Samsung’s new Less Microfiber Filter captures up to 98% of the microfibers released during wash, preventing ecological problems caused by the microplastics in the oceans. It is easy to use and clean.;['#Less Microfiber™ Filter', '#Microfiber', '#MicrofiberFilter', '#MicrofiberReduction', '#Microplastic', '#Microplastic Solution', '#MicroplasticFilter', '#MicroplasticReduction', '#Samsung', '#SustainableWash', '#WashingMachineFilter'];2023-06-09T08:00:33Z;48719;1623;;83;PT1M44S;hd;False
IzRSSykkc8U;Samsung;Samsung Unpacked: Join the expressive side, for every side of you;"Learn more: http://smsng.co/JTFS_Expressive_yt

#JoinTheFlipSide #SamsungUnpacked #Samsung";['Samsung', 'join the flip side', 'latest samsung galaxy phone', 'new galaxy phone', 'new samsung flip phone', 'new samsung galaxy', 'samsung flip side', 'samsung foldable phone', 'samsung join the flip side', 'samsung latest mobile'];2023-07-12T13:00:18Z;8501;835;;21;PT14S;hd;False
FoSSammFUqg;Samsung;Samsung Galaxy Unpacked: Visit us at Galaxy Experience Space;"Who's open to trying new things? Come visit us at #GalaxyExperience Space! Learn more: http://smsng.co/ILP1_yt

#JoinTheFlipSide #SamsungUnpacked #Samsung";['galaxy unpacked', 'galaxy unpacked 2023', 'ilp', 'new York', 'nyc', 'samsung unpacked', 'samsung unpacked 2023', 'teaser', 'west village'];2023-07-12T12:00:22Z;3934;379;;7;PT18S;hd;False
QUENvNWVwp4;Samsung;Samsung Galaxy: Join the flip side;"What others see as ordinary; we see as an opportunity to #JoinTheFlipSide. Check out http://smsng.co/Landmark_yt on July 26.

#SamsungUnpacked #Samsung";['Samsung\u200b', 'join the flip side', 'latest\xa0samsung\xa0galaxy phone', 'new galaxy phone', 'new\xa0samsung\xa0flip phone', 'new\xa0samsung\xa0galaxy', 'samsung\xa0flip side', 'samsung\xa0foldable phone', 'samsung\xa0join the flip side', 'samsung\xa0latest mobile'];2023-07-12T11:00:20Z;29488;1519;;88;PT20S;hd;False
SWh6VwXtZz4;Samsung;Display Solutions: Case Study - SoFi Stadium | Samsung;"Samsung’s display solutions create technological spectacle to change the game at SoFi Stadium. 
Discover more at http://smsng.co/B2Bsolutions

#Samsung";['samsung'];2023-07-11T08:01:25Z;7434;444;;33;PT3M17S;hd;True
qHkDBfv74G4;Samsung;With experts impressed by our TVs, it’s now your turn! | Samsung;"Samsung has done it again! We have been ranked the No.1 TV brand for the past 17 years 🥇
And here are just some of the glowing reviews that speak of an experience that’s simply above the rest.

Discover more wow at: http://smsng.co/YourPerfectTV 

#NeoQLED8K #NeoQLED #OLED #MoreWowThanEver #Samsung";['2023 Neo QLED 4K', '2023 TV', '4K TV', 'Best Screen', 'Best TV', 'Best TV 2023', 'Gaming TV', 'Home TV', 'Neo QLED', 'Neo QLED 4K', 'Neo QLED 8K', 'OLED', 'Samsung', 'Samsung 2023 Awards', 'Samsung No.1 TV', 'Samsung TV', 'Samsung number 1 TV', 'Screen', 'Television'];2023-07-11T02:02:54Z;18251;870;;66;PT2M35S;hd;False
nDjl_R-noLw;Samsung;The Wall All-in-One: Presenting Park Seo-Bo's Masterpiece in New York | Samsung;"Discover the awe-inspiring collaboration between Samsung and the legendary Park Seo-Bo, showcased on The Wall All-in-One at New York's Rockefeller Center. 

As part of the 'Origin, Emergence, Return' exhibit, Samsung has partnered with Johyun Gallery to bring the digital rendition of the artist's iconic artwork, Écriture, to life. The Wall All-in-One provides an immersive visual experience that replicates the intense colors and intricate textures of Park’s painting on a massive 146-inch 4K screen.

Discover more at http://smsng.co/B2Bsolutions

#ParkSeoBo #TheWall #Samsung";['#Samsung'];2023-07-09T22:50:04Z;7392;177;;12;PT1M13S;hd;True
flg9px2X_C8;Samsung;BESPOKE Jet™ AI : Jet Pet Care | Samsung;"Pet care made purrrfect.
Jet away every furball and pet-hair entanglement with
Bespoke Jet™ AI and the anti-tangle Pet Tool+.

Learn more : http://spr.ly/6053PygoL

#Samsung";['AI Cleaning', 'AI Vacuum', 'BESPOKE Jet AI', 'Bespoke Commercial', 'Cleaning Hacks', 'Cordless', 'Cordless Vacuum', 'House Cleaning', 'Jet Vacuum', 'Jet Vacuum Commercial', 'Let’s Jet It', 'Samsung', 'Samsung Bespoke', 'Samsung Jet', 'Smart Appliances', 'Stick Vacuum', 'Vacuum', 'Vacuum Cleaner'];2023-07-09T14:00:34Z;11228;490;;19;PT21S;hd;False
WPYoUbUlf3M;Samsung;BESPOKE Jet™ AI : Amazing Jet Finish | Samsung;"Powered up with Spinning Cyclone, the next-gen Clean
Station™ auto-disposes mess, says goodbye to 99% of
hair, and charges you up for next time! Let’s Jet it!

Learn more : http://spr.ly/6052Pygoo

#Samsung";['AI Cleaning', 'AI Vacuum', 'BESPOKE Jet AI', 'Bespoke Commercial', 'Cleaning Hacks', 'Cordless', 'Cordless Vacuum', 'House Cleaning', 'Jet Vacuum', 'Jet Vacuum Commercial', 'Let’s Jet It', 'Samsung', 'Samsung Bespoke', 'Samsung Jet', 'Smart Appliances', 'Stick Vacuum', 'Vacuum', 'Vacuum Cleaner'];2023-07-09T13:00:26Z;8682;386;;7;PT17S;hd;False
AeodzI4CdlE;Samsung;BESPOKE Jet™ AI : Jet AI | Samsung;"Switch on the smarts with Bespoke Jet™ AI.
The new AI mode analyzes floor type & auto-adjusts
suction power to match! And it saves 14% more battery too!

Learn more : http://spr.ly/6059Pygob

#Samsung";['AI Cleaning', 'AI Vacuum', 'BESPOKE Jet AI', 'Bespoke Commercial', 'Cleaning Hacks', 'Cordless', 'Cordless Vacuum', 'House Cleaning', 'Jet Vacuum', 'Jet Vacuum Commercial', 'Let’s Jet It', 'Samsung', 'Samsung Bespoke', 'Samsung Jet', 'Smart Appliances', 'Stick Vacuum', 'Vacuum', 'Vacuum Cleaner'];2023-07-09T12:00:30Z;9749;436;;13;PT19S;hd;False
GBMDlV0W-dc;Samsung;BESPOKE Jet™ AI : Jet Power | Samsung;"Did someone say powerrrr? Leave nothing behind with
the all-new Bespoke Jet™ AI.
With its 280W HexaJet Motor, you'll Jet away every mess
in your path!

Learn more : http://spr.ly/6053PygWF

#Samsung";['AI Cleaning', 'AI Vacuum', 'BESPOKE Jet AI', 'Bespoke Commercial', 'Cleaning Hacks', 'Cordless', 'Cordless Vacuum', 'House Cleaning', 'Jet Vacuum', 'Jet Vacuum Commercial', 'Let’s Jet It', 'Samsung', 'Samsung Bespoke', 'Samsung Jet', 'Smart Appliances', 'Stick Vacuum', 'Vacuum', 'Vacuum Cleaner'];2023-07-08T14:00:38Z;15525;511;;24;PT19S;hd;False
2-Qf3-CTzX4;Samsung;BESPOKE Jet™ AI official TVC: Let’s Jet It | Samsung;"Meet the all-new BESPOKE Jet™ AI.
It packs our most powerful 280W suction power, super-smart AI mode, and the upgraded Clean Station™ for the ultimate clean.

Learn more : http://spr.ly/6059PygWT

#Samsung";['#Samsung', 'AI Cleaning', 'AI Vacuum', 'BESPOKE Jet AI', 'Bespoke Commercial', 'Cleaning Hacks', 'Cordless', 'Cordless Vacuum', 'House Cleaning', 'Jet Vacuum', 'Jet Vacuum Commercial', 'Let’s Jet It', 'Samsung Bespoke', 'Samsung Jet', 'Smart Appliances', 'Stick Vacuum', 'Vacuum', 'Vacuum Cleaner'];2023-07-08T13:00:50Z;21339;573;;17;PT31S;hd;False
RcdL9c7gerk;Samsung;Q-Symphony: Experience epic concerts at home | Samsung;"Pair up your #NeoQLED TV with the #QSeriesSoundbar for the best concert experience from the comfort of home. Q-Symphony syncs audio from both devices to create the most #ImmersiveSound like never before. Hear it from http://smsng.co/SoundsWow
#SoundsWowTogether #Samsung";['11.1.4 Channel Speaker', 'Best Soundbar', 'Best Speakers', 'HW-Q990B', 'Home Sound System', 'Home Theater', 'Home Theater Speakers', 'Home Theater System', 'Neo QLED', 'Q Symphony', 'QLED TV', 'Samsung QLED', 'Samsung Soundbar', 'Samsung Ultra Slim', 'Sound Bar System', 'Soundbar pairing', 'Surround Sound System', 'Ultra Slim Soundbar'];2023-07-07T02:00:17Z;6202;552;;15;PT23S;hd;False
4P65EJKIUwM;Samsung;Samsung Galaxy: Join the flip side — Season 2;"A serene summer camp turns eerie when rumors spread of a Samsung phone, known as the Z Flip, that possesses an irresistible power over anyone who lays eyes on it. Determined to never switch, a group of friends attempt to escape without seeing one. However, they soon discover that the very thing they fear most is actually the thing they want the most. Will they be able to escape the Samsung Z Flip, or will they be possessed with its power and join the flip side?

Watch to find out and don’t forget to join us for Galaxy Unpacked live on http://smsng.co/JTFS2_teaser_yt on July 26 to discover the new Galaxy Z Flip.

#JoinTheFlipSide #SamsungUnpacked #Samsung";['Lavender', 'Samsung', 'galaxy z flip', 'galaxy z flip4', 'join the flip side', 'samsung flip 4', 'samsung flip side', 'samsung galaxy z flip', 'samsung join the flip side', 'samsung z flip', 'samsung zet flip', 'z flip', 'z flip4'];2023-07-06T23:00:02Z;20418227;7012;;645;PT2M5S;hd;True
KRnrk3EPdVE;Samsung;Samsung Galaxy Unpacked: Journey to Seoul;"Wherever you are, follow the arrow to innovation and discover what’s next. #JoinTheFlipSide at Samsung Unpacked on July 26, 2023. Learn more: http://www.samsung.com

#SamsungUnpacked #Samsung";['GalaxyUnpacked', 'Samsung', 'SamsungGalaxy', 'SamsungUnpacked', 'Unpacked', 'Unpacked2023', 'Unpackedinvitation', 'event', 'invite', 'launch', 'save the date', 'teaser'];2023-07-06T00:00:02Z;53039;1704;;76;PT28S;hd;False
fjlaXzVYg44;Samsung;Invitation for Galaxy Unpacked July 2023 - Join the flip slide at Unpacked in Seoul | Samsung;"It's time to #JoinTheFlipSide! Join us at 언팩 (Unpacked) in Seoul, Korea on July 26, 2023. Learn more: http://www.samsung.com

#SamsungUnpacked #Samsung";['GalaxyUnpacked', 'Samsung', 'SamsungGalaxy', 'SamsungUnpacked', 'Unpacked', 'Unpacked2023', 'Unpackedinvitation', 'event', 'invite', 'launch', 'save the date', 'teaser'];2023-07-05T23:10:23Z;33700;2549;;84;PT8S;hd;False
RQOpTsT_Svs;Samsung;Invitation for Galaxy Unpacked July 2023 | Samsung;"It's time to #JoinTheFlipSide! Join us at 언팩 (Unpacked) in Seoul, Korea on July 26, 2023. Learn more: http://www.samsung.com

#SamsungUnpacked #Samsung";['GalaxyUnpacked', 'Samsung', 'SamsungGalaxy', 'SamsungUnpacked', 'Unpacked', 'Unpacked2023', 'Unpackedinvitation', 'event', 'invite', 'launch', 'save the date', 'teaser'];2023-07-05T23:00:13Z;89776;3606;;278;PT8S;hd;False
vAEEg-OUrDg;Samsung;Portable SSD T7: Super fast external storage | Samsung;"Whether you're carrying games, movies, or work files, the Portable SSD T7 gives you speed, durability and security in a palm-sized package. Discover more: http://smsng.co/portable-ssd

#T7 #PortableSSD #Samsung";['1TB', '2023 best ssd', '2TB', '500GB', 'PS5', 'T7 Shield', 'T7 Touch', 'USB 3.2 gen 2', 'backup', 'crucial', 'external solid state drive', 'external ssd', 'external storage', 'external storage for game console', 'external storage for laptop', 'mac storage', 'nvme', 'pc upgrade', 'playstation', 'portable ssd', 'samsung', 'sandisk extreme', 'seagate storage expansion card', 'solid state drive', 'ssd for photographers', 'video editing', 'wd', 'western digital passport', 'xbox'];2023-07-05T04:00:16Z;25859;1144;;60;PT30S;hd;False
sYwHHoLlIIU;Samsung;Q-Symphony: Level up your gaming experience | Samsung;"Psst, here’s a hack for you gamers! 🎮 Pair up your #QSeries and #NeoQLED 8K TV to enjoy next-level image and sound quality like no other. Visit http://smsng.co/SoundsWow
#NeoQLED #SoundsWowTogether #ImmersiveSound #Shorts #Samsung";['Best Soundbar', 'Best Speakers', 'Home Sound System', 'Home Theater', 'Home Theater Speakers', 'Home Theater System', 'Neo QLED', 'Q Symphony', 'QLED TV', 'Samsung QLED', 'Samsung Soundbar', 'Sound Bar System', 'Soundbar pairing', 'Surround Sound System'];2023-07-05T02:00:16Z;8365;564;;7;PT34S;hd;False
lCL5ISyBkP4;Samsung;Samsung Crystal UHD Signage QHC/QMC/QBC series: Slim design. Stunning Performance.;"Introducing QHC/QMC/QBC series, the slimmest display in the Samsung UHD Signage. It brings elegance to business while maximizing space. Its enhanced internal solutions and intuitive home screen UX make it easy to use. Businesses in various verticals can achieve growth with this product's efficiency and design innovation.

Discover more at http://smsng.co/B2Bsolutions

#Samsung";['Samsung'];2023-07-05T01:01:01Z;8693;453;;27;PT2M4S;hd;False
C_nOaWb2uRU;Samsung;Neo QLED: All-in-one gaming TV | Samsung;"Elevate your gaming experience with the Neo QLED gaming TV. Boasting an ultra smooth display and next-gen features, enjoy your favourite games with your next-level battlestation. Poggers! 💥

Your next secret weapon: http://smsng.co/NeoQLED_GamingTV

#NeoQLED4K #GamingHub #Samsung";['2023 Neo QLED 4K', '2023 TV', '4K TV 144HZ Gaming TV', 'Best Gaming Monitor', 'Best Gaming TV 2023', 'Best Screen', 'Best TV', 'Gaming Monitor', 'Home TV', 'Neo QLED 4K', 'Neo QLED QN90B', 'Samsung', 'Samsung TV', 'Screen', 'Television'];2023-07-03T08:00:37Z;21739;814;;50;PT45S;hd;False
jkpGvdmNSfU;Samsung;Samsung UHD Signage QHC/QMC/QBC series (Short version): Stunning Performance;"Introducing new UHD Signage QHC/QMC/QBC series. Its enhanced internal solutions and intuitive home screen UX make it easy to use. Businesses in various verticals can achieve growth with this product's efficiency and design innovation.

Discover more at http://smsng.co/B2Bsolutions

#Samsung";['Samsung'];2023-07-03T07:00:17Z;7596;347;;20;PT30S;hd;False
QY0ZRnhOKis;Samsung;Samsung Crystal UHD Signage QHC/QMC/QBC series (Short version): Slim design;"Introducing new UHD Signage QHC/QMC/QBC series, the slimmest design in the standalone signage lineup. 
It brings elegance to business environments while maximizing space.

Discover more at http://smsng.co/B2Bsolutions

#Samsung";['Samsung'];2023-07-03T06:00:24Z;11249;495;;29;PT41S;hd;False
6MQgq7zLB5Y;Samsung;Samsung Indoor LED All-in-One: This is the true all-in-one;"Discover a true all-in-one LED display. Experience easier installation than ever with Samsung's exclusive Quick Build technology. All you have to do is just enjoy its brilliant performance. This is Samsung's promise of all-in-one.

Find out more at http://smsng.co/B2Bsolutions

#Samsung";['Samsung'];2023-07-02T08:00:33Z;35705;1288;;66;PT1M24S;hd;False
0_7v3HBM-ds;Samsung;Introducing : Game Portal | Samsung;"Enter a new dimension of play at Game Portal. Find everything you need to unleash your game, all in one place: gear, reviews, unlocks, pro tips, events, and more. Enter: http://smsng.co/Game-Portal

#GamePortal #EmbraceYourGame #Gaming #Samsung";['EmbraceYourGame', 'GalaxyS23', 'GamePortal', 'Gaming', 'GamingHub', 'NeoQLED', 'Odyssey', 'Samsung'];2023-07-01T00:00:21Z;22772;932;;59;PT30S;hd;False
08JME7cL-6c;Samsung;Knox Suite: Introducing Kiosk Wizard | Samsung;"Kiosk Wizard helps you turn your mobile device into a business powerhouse. This powerful Samsung Knox Suite tool enables you to easily build, configure and optimize your device for efficiency, productivity and enhances overall customer experience. Learn more: http://smsng.co/Knox-Solutions

#SamsungKnox #Samsung";['Knox', 'Samsung', 'data privacy', 'data security', 'kiosk', 'knox suite', 'mobile security', 'privacy', 'samsung knox', 'security', 'support', 'wizard'];2023-06-30T11:00:19Z;11243;593;;42;PT1M11S;hd;True
242XX-vChOg;Samsung;[Infocomm 2023] Highlights | Samsung;"Samsung has unveiled its next-generation displays and solutions at Infocomm 2023 in Orlando, USA. 

Discover more at http://smsng.co/B2Bsolutions

#Samsung";['Samsung'];2023-06-29T01:00:36Z;12364;556;;47;PT2M1S;hd;False
dpQgdLOoE5c;Samsung;Samsung Members: Connect in Seoul Highlights;"Samsung Members Stars from 15 countries, loyal fans of Galaxy, converged in the vibrant city of Seoul for Samsung Members Connect! They attended a series of Epic activities and created content with the Galaxy S23 Series. Explore the journey of Samsung Members Stars! Learn more: http://smsng.co/Samsung_Members

#GalaxyS23 #SamsungMembers #Samsung";['S23', 'flagship phone', 'galaxy s23 ultra', 's23 ultra', 'samsung', 'samsung event', 'samsung galaxy event', 'samsung galaxy s23 ultra', 'samsung members', 'samsung s23 ultra', 'selfie camera'];2023-06-28T03:00:47Z;14024;623;;55;PT1M32S;hd;False
w_liHU_V2Rw;Samsung;#TeamGalaxy Connect: Seoul Highlight film | Samsung;"Welcome to the electrifying world of #TeamGalaxy Connect in Seoul, where the most talented photo/videography and gaming influencers from around the globe come together for an unforgettable experience! Join us on this epic journey filled with inspiration, creativity, and exhilarating moments with Galaxy S23 Ultra. Learn more: http://smsng.co/GalaxyS23Ultra

#GalaxyS23 #Samsung";['Samsung', 'battery life', 'esports', 'fornite', 'fornitw', 'galaxy s23 ultra', 'game tournament', 'gaming', 'gaming tournament', 'korea', 'mobile game', 'oled display', 'phone battery', 'phone screen', 'photography', 's23', 's23 ultra', 'samsung galaxy s23 ultra', 'samsung s23 ultra', 'seoul', 'team galaxy', 'videography'];2023-06-27T03:00:42Z;10793;614;;36;PT1M9S;hd;False
8EDuzxX_IWo;Samsung;Experience the Wow difference of OLED 4K | Samsung;"Picture-perfect 4K quality 💎   

#SamsungOLED #Shorts #Samsung";['4K', 'Best OLED TV 2023', 'Dolby Atmos', 'Home Theater', 'LED TV', 'OLED', 'OLED TV', 'Object Tracking Sound', 'Quantum Dot Technology', 'Samsung', 'Samsung OLED', 'Samsung Smart TV', 'Samsung TV', 'Slim TV', 'Smart TV', 'Surround Sound', 'TV with best colours'];2023-06-26T04:00:15Z;13956;973;;25;PT30S;hd;False
Jv6lwUSoEo0;Samsung;ViewFinity S9: Official Introduction | Samsung;"Expand your realm with Samsung’s first #5K monitor. Open up whole new worlds of creative productivity, and bring out the best in your design work with astounding picture and color quality. Have a big project? Don’t worry about reflections or blue light. Your eyes will stay fresh with less strain. And all your design tools will be ready at your fingertips, no matter how they connect. Plus, when you’re done with work, chill out with your favorite shows. Get it all done and then some in 5K with the ViewFinity S9. Find out more at http://www.samsung.com 
 
#ViewFinityS9 #ExpandYourRealmin5K #Samsung";['ExpandYourRealmin5K', 'Samsung', 'ViewFinityS9'];2023-06-26T02:01:31Z;364107;7004;;525;PT2M33S;hd;False
